sp_num,sp_name,sp_ori_name,sp_pr_code
380,/2024/05/13/slides_10_17_02.png,slides_10_17_02.png,TSF01WHEU
381,/2024/05/13/slides_10_17_03.png,slides_10_17_03.png,TSF01WHEU
382,/2024/05/13/slides_10_18_01.png,slides_10_18_01.png,TSF01GREU
383,/2024/05/13/slides_10_18_02.png,slides_10_18_02.png,TSF01GREU
384,/2024/05/13/slides_10_18_03.png,slides_10_18_03.png,TSF01GREU
385,/2024/05/13/slides_10_19_01.png,slides_10_19_01.png,TSF01CREU
386,/2024/05/13/slides_10_19_02.png,slides_10_19_02.png,TSF01CREU
387,/2024/05/13/slides_10_19_03.png,slides_10_19_03.png,TSF01CREU
388,/2024/05/13/slides_10_20_01.png,slides_10_20_01.png,TSF03WHEU
389,/2024/05/13/slides_10_20_02.png,slides_10_20_02.png,TSF03WHEU
390,/2024/05/13/slides_10_20_03.png,slides_10_20_03.png,TSF03WHEU
391,/2024/05/13/slides_10_21_01.png,slides_10_21_01.png,TSF03SSEU
392,/2024/05/13/slides_10_21_02.png,slides_10_21_02.png,TSF03SSEU
393,/2024/05/13/slides_10_21_03.png,slides_10_21_03.png,TSF03SSEU
394,/2024/05/13/slides_10_22_01.png,slides_10_22_01.png,TSF01GOEU
395,/2024/05/13/slides_10_22_02.png,slides_10_22_02.png,TSF01GOEU
396,/2024/05/13/slides_10_22_03.png,slides_10_22_03.png,TSF01GOEU
397,/2024/05/13/slides_10_23_01.png,slides_10_23_01.png,TSF01SSEU
398,/2024/05/13/slides_10_23_02.png,slides_10_23_02.png,TSF01SSEU
399,/2024/05/13/slides_10_23_03.png,slides_10_23_03.png,TSF01SSEU
400,/2024/05/13/slides_11_01_01.png,slides_11_01_01.png,BLF03CREU
401,/2024/05/13/slides_11_01_02.png,slides_11_01_02.png,BLF03CREU
402,/2024/05/13/slides_11_01_03.png,slides_11_01_03.png,BLF03CREU
403,/2024/05/13/slides_11_02_01.png,slides_11_02_01.png,BLF03PBEU
404,/2024/05/13/slides_11_02_02.png,slides_11_02_02.png,BLF03PBEU
405,/2024/05/13/slides_11_02_03.png,slides_11_02_03.png,BLF03PBEU
406,/2024/05/13/slides_11_03_01.png,slides_11_03_01.png,BLF03BLEU
407,/2024/05/13/slides_11_03_02.png,slides_11_03_02.png,BLF03BLEU
408,/2024/05/13/slides_11_03_03.png,slides_11_03_03.png,BLF03BLEU
409,/2024/05/13/slides_11_04_01.png,slides_11_04_01.png,BLF03PGEU
410,/2024/05/13/slides_11_04_02.png,slides_11_04_02.png,BLF03PGEU
411,/2024/05/13/slides_11_04_03.png,slides_11_04_03.png,BLF03PGEU
